Topic/Keyword,Start Date,End Date,,Loc,Desc,Key Type,Source
Neanderthals,-15000,,bc,NaN,,Historic,
Prehistoric,-10000,0,bc,,Key words,Historic,
Mamoth,-10000,0,bc,,Key words,Historic,
pre-historic,-10000,0,bc,,Key words,Historic,
Jomon,-8000,-30,bc,Japan,Key words,Historic,
Naqada,-4000,-3000,bc,Middle East,Anicent Culture in Egypt,Historic,https://worldhistoryproject.org/
Minoan,-3650,-2160,bc,Greece,Early period in Greece,Historic,https://worldhistoryproject.org/
Hor-Aha,-3500,-3000,bc,Egypt,,Historic,https://worldhistoryproject.org/
Harappa,-3250,-2750,bc,Middle East,Indus valley Civ.,Historic,https://worldhistoryproject.org/
Egypt,-3150,0,bc,Egypt,Upper and Lower united,Historic,https://worldhistoryproject.org/
Menes,-3150,0,bc,Egypt,First Pharoah,Historic,https://worldhistoryproject.org/
Pharoah,-3150,0,bc,Egypt,,Historic,https://worldhistoryproject.org/
Narmer,-3100,-3050,bc,Egypt,Early Pharoah,Historic,https://worldhistoryproject.org/
Scorpion King,-3100,-3050,bc,Egypt,"Selk, early phaorah",Historic,https://worldhistoryproject.org/
Troy ,-3000,0,bc,Greece,Keyword,Myth,https://worldhistoryproject.org/
Jerusalem,-2800,0,bc,Middle East,,Historic,
Djoser,-2650,-2600,bc,Egypt,First Pyramid,Historic,https://worldhistoryproject.org/
Pyramids,-2590,-2500,bc,Egypt,,Historic,https://worldhistoryproject.org/
Khufu,-2590,-2560,bc,Egypt,Pharoah,Historic,https://worldhistoryproject.org/
Giza,-2560,0,bc,Egypt,Pyramid,Historic,https://worldhistoryproject.org/
Stonehenge,-2500,0,bc,England,,Historic,https://worldhistoryproject.org/
Xia Dynasty,-2100,-1600,bc,China,FIrst Chinese Dynasty,Historic,https://worldhistoryproject.org/
Yu the Great,-2100,0,bc,China,"Became emperor, flood control",Historic,https://worldhistoryproject.org/
Babylon,-1700,0,bc,Middle East,Expanded Babylon's influence,Historic,https://worldhistoryproject.org/
Hammurabi,-1700,0,bc,Middle East,Expanded Babylon's influence,Historic,https://worldhistoryproject.org/
Tigris,-1700,0,bc,Middle East,River,Historic,https://worldhistoryproject.org/
Shang Dynasty,-1600,-1046,bc,China,,Historic,https://worldhistoryproject.org/
Assyria,-1500,0,bc,Middle East,,Historic,
Nefertiti,-1370,-1330,bc,Greece,,Historic,
Tut,-1332,-13123,BC,Egypt,,Historic,
Achilles,-1300,,bc,Greece,,Myth,
Trojan war,-1300,,bc,Greece,,Myth,
Moses,-1250,0,bc,Egypt,,Historic,
Ramses,-1250,,bc,Egypt,,Historic,
Dorians,-1200,0,bc,Greece,,Historic,https://worldhistoryproject.org/
Hittite,-1200,0,bc,Greece,Civ.,Historic,https://worldhistoryproject.org/
Petra,-1200,0,bc,Middle East,,Historic,https://worldhistoryproject.org/
Samson,-1118,,bc,Middle East,,Biblical,
Zhou Dynasty,-1045,-256,bc,China,,Historic,https://worldhistoryproject.org/
Sushruta,-1000,0,bc,India,Physician,Historic,https://worldhistoryproject.org/
Sparta,-1000,0,bc,Greece,Greek state,Historic,https://worldhistoryproject.org/
Dionysus,-1000,0,bc,Greece,,Myth,https://worldhistoryproject.org/
Bathsheba,-975,,bc,Middle East,,Biblical,
Solomon,-970,-930,bc,Middle East,King of Israel,Historic,https://worldhistoryproject.org/
The Temple Mount,-957,0,bc,Middle East,,Historic,https://worldhistoryproject.org/
Carthage,-814,-146,bc,Middle East,,Historic,
Olympia,-776,0,bc,,FIrst olympics,Historic,https://worldhistoryproject.org/
Rome,-753,,bc,Rome,,Historic,
Romulus,-753,-716,bc,Rome,,Historic,
Anaximander,-610,0,bc,Greece,greek thinker,Historic,https://worldhistoryproject.org/
Pythagoras,-570,-495,bc,Greece,greek thinker,Historic,https://worldhistoryproject.org/
Xenophanes,-570,-475,bc,Greece,greek thinker,Historic,https://worldhistoryproject.org/
Battle of Hyrba,-552,0,bc,Middle East,,Historic,https://worldhistoryproject.org/
Battle of the Persian Border,-551,0,bc,Middle East,,Historic,https://worldhistoryproject.org/
Confucious,-551,0,bc,China,Chinese thinker,Historic,https://worldhistoryproject.org/
Nicolaus of Damascus,-550,0,bc,Middle East,,Historic,https://worldhistoryproject.org/
Cyrus the Great,-550,0,bc,Middle East,,Historic,https://worldhistoryproject.org/
Cyrus,-550,0,bc,Middle East,,Historic,https://worldhistoryproject.org/
Temple of Artemis,-550,0,bc,Greece,temple built,Historic,https://worldhistoryproject.org/
Persia,-550,,bc,Middle East,,Historic,
Persian,-550,,bc,Middle East,,Historic,
Xerxes,-550,,BC,Middle East,,Historic,
Leonidas,-540,0,bc,Greece,Famous king of Sparta,Historic,https://worldhistoryproject.org/
Hippias,-510,0,bc,Greece,king overthrown by Athenians and Spartans,Historic,https://worldhistoryproject.org/
Persian Wars,-499,-450,bc,Persia,wars between greece and persia,Historic,https://worldhistoryproject.org/
Battle of Thermopylae,-480,0,bc,Greece,,Historic,https://worldhistoryproject.org/
Thermopylae,-480,0,bc,Greece,,Historic,https://worldhistoryproject.org/
Battle of Salamis,-480,0,bc,Greece,,Historic,https://worldhistoryproject.org/
Salamis,-480,0,bc,Greece,,Historic,https://worldhistoryproject.org/
Archidamus,-475,-427,bc,Greece,"Spartan King, Archidamus",Historic,https://worldhistoryproject.org/
Socrates,-469,-399,bc,Greece,Greek Thinker,Historic,https://worldhistoryproject.org/
Pericles,-461,-429,bc,Greece,,Historic,https://worldhistoryproject.org/
Parthenon,-447,-432,bc,Greece,Temple,Historic,https://worldhistoryproject.org/
Peloponnesian War,-431,-404,bc,Greece,,Historic,https://worldhistoryproject.org/
Plato,-428,-348,bc,Greece,Greek Thinker,Historic,https://worldhistoryproject.org/
Battle of Cnidus,-394,0,bc,Greece,,Historic,https://worldhistoryproject.org/
Aristotle,-384,0,bc,Greece,Greek Thinker,Historic,https://worldhistoryproject.org/
Alexander the Great,-356,-323,bc,Greece,Greek Emperor,Historic,https://worldhistoryproject.org/
Hellenistic,-323,-146,bc,Greece,,Historic,https://worldhistoryproject.org/
Ptolemaic,-305,-30,bc,Greece,period in Egypt,Historic,https://worldhistoryproject.org/
Yayoi,-300,0,bc,Japan,Key words,Historic,
Ancient Rome,-300,0,bc,Greece,Key words,Historic,
Rhodes,-292,,bc,Rome,,Historic,
Colossus,-292,,bc,Rome,,Historic,
Gladiators,-264,,bc,Rome,,Historic,
Great Wall,-220,-206,bc,China,,Historic,https://worldhistoryproject.org/
Julius Caeser,-100,-44,bc,Greece,,Historic,https://worldhistoryproject.org/
Caeser,-100,-44,bc,Greece,,Historic,https://worldhistoryproject.org/
Mark Antony,-83,-30,bc,Greece,,Historic,https://worldhistoryproject.org/
Sparticus,-73,-71,BC,Rome,,Historic,
Caesar Augustus,-63,19,bc/ad,Rome,,Historic,
Cleopatra,-51,-30,bc,Greece,,Historic,https://worldhistoryproject.org/
Roman Empire,-27,476,bc/ad,Rome,,Historic,
Hannibal,-218,,bc,Rome,,historic,
Punic War,-218,,bc,Rome,,historic,
Carthaginian,-218,,bc,Rome,,historic,
