Title,Release date,Time Period,Start Time,End Time,Location,movie_id
Les Miserables,1934,1815-1832,1815,1832,France,67532
Les Miserables,1935,1815-1832,1815,1832,France,43893
Les Miserables,1995,1815-1832,1815,1832,France,48750
Les Miserables,1998,1815-1832,1815,1832,France,4415
Les Miserables,2012,1815-1832,1815,1832,France,82695
The Tribe,1974,50000 BC,-50000,-50000,Europe,338039
Homo Erectus,2007,50000 BC,-50000,-50000,Europe,14641
The Scorpion King 3: Battle for Redemption,2012,3100 BC,-3100,-3100,Egypt,78049
Troilus & Cressida,1981,1305 BC,-1305,-1305,Anatolia,119913
Fury of Achilles,1962,1300 BC,-1300,-1300,Anatolia,81409
Las Troyanas,1963,1300 BC,-1300,-1300,Anatolia,533220
The Lion of Thebes,1964,1300 BC,-1300,-1300,Anatolia,211139
Moses,1995,1300 BC,-1300,-1300,Egypt,2719
The Ten Commandments: The Movie,2016,1250 BC,-1250,-1250,Egypt,372519
Troy the Odyssey,2017,1174 BC,-1174,-1174,Troy,493416
Lo que le pasÃ³ a SansÃ³n,1955,1100 BC,-1100,-1100,Gaza,298509
Son of Samson,1960,1050 BC,-1050,-1050,Gaza,206004
Solomon,1997,1000 BC,-1000,-1000,Israel,58430
The Kingdom of Solomon,2010,970 BC,-970,-970,Israel,153779
The Shame of the Sabine Women,1962,775 BC,-775,-775,Rome,366585
The First King,2019,753 BC,-753,-753,Rome,565179
Romulus and Remus: The Story of Two Sons of a Wolf,1976,753 BC,-753,-753,Rome,412225
The Queen of Babylon,1954,600 BC,-600,-600,Hillah,223168
Slaves of Babylon,1953,580 BC,-580,-580,Hillah,350806
Goliath and the Sins of Babylon,1963,560 BC,-560,-560,Hillah,150912
Hero of Babylon,1963,539 BC,-539,-539,Hillah,330390
Amazons of Rome,1961,509 BC,-509,-509,Rome,164302
The 300 Spartans,1962,480 BC,-480,-480,"Laconia, Salamina, Greece",19972
Meet the Spartans,2008,480 BC,-480,-480,"Laconia, Salamina, Greece",7278
Esther,1999,475 BC,-475,-475,"Susa, Iran",2700
The Book of Esther,2013,475 BC,-475,-475,"Susa, Iran",199153
"Pericles, Prince of Tyre",1984,450 BC,-450,-450,"Tyre, Lebanon",119925
Lysistrata,1972,410 BC,-410,-410,"Athens, Greece",286405
ÎœÏ€Î¿Ï…Î¼ Î¤Î±ÏÎ±Ï„Î±Ï„Î¶Î¿ÏÎ¼,1972,405 BC,-405,-405,Greece,178184
Barefoot in Athens,1966,399 BC,-399,-399,"Athens, Greece",383695
Plato's Banquet,1989,375 BC,-375,-375,"Athens, Greece",138797
Adventure Story,1961,356 BC,-356,-356,Skopje,458191
The Loves of Salammbo,1960,300 BC,-300,-300,Sicily,228867
The Great Wall,1962,221 BC,-221,-221,China,68906
The Old Testament,1962,166 BC,-166,-166,Israel,330395
Caesar Against the Pirates,1962,75 BC,-75,-75,Rome,205031
Slave of Rome,1961,54 BC,-54,-54,Rome,284016
The Notorious Cleopatra,1970,45 BC,-45,-45,Egypt,112424
The Erotic Dreams of Cleopatra,1985,45 BC,-45,-45,Egypt,326088
National Theatre Live: Julius Caesar,2018,44 BC,-44,-44,Egypt,465616
Brutus vs Cesar,2020,44 BC,-44,-44,Egypt,613370
Carry On Cleo,1964,43 BC,-43,-43,Egypt,5066
National Theatre Live: Antony & Cleopatra,2018,43 BC,-43,-43,Egypt,533575
Toto and Cleopatra,1963,41 BC,-41,-41,Egypt,81908
Antony and Cleopatra - Live at Shakespeare's Globe,2014,41 BC,-41,-41,Egypt,509606
In the Shadow of the Eagles,1966,39 BC,-39,-39,Rome,270673
Antony & Cleopatra,1981,35 BC,-35,-35,Egypt,106385
Legions of the Nile,1959,30 BC,-30,-30,"Alexandria, Egypt",168479
Saint Mary,1997,16 BC,-16,-16,"Nazareth, Israel",321637
Augustus: The First Emperor,2003,10 BC,-10,-10,Rome,58933
Joseph of Nazareth,2000,4 BC,-4,-4,"Nazareth, Israel",58441
